GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProgtechWumpus,default,ProgtechWumpus,10,0,0,0,4,0,2,0,2,0
ProgtechWumpus,models,Database,10,13,0,0,4,5,0,2,0,2
ProgtechWumpus,models,Player,8,104,4,8,4,30,4,12,0,10
ProgtechWumpus,models,Board,0,170,0,14,0,42,0,19,0,12
ProgtechWumpus,models,Position,0,82,0,10,0,25,0,13,0,8
ProgtechWumpus,builders,GameBuilder,16,110,3,5,7,24,3,6,0,5
ProgtechWumpus,controllers,PlayerController,0,186,0,22,0,53,0,22,0,11
ProgtechWumpus,controllers,DatabaseController,72,136,6,6,29,41,6,7,1,6
ProgtechWumpus,controllers,BoardController,0,193,0,28,0,48,0,29,0,15
ProgtechWumpus,controllers,GameModeController,0,594,1,47,0,165,1,44,0,21
ProgtechWumpus,controllers,MainController,14,142,1,11,4,41,1,11,0,6
